name,model,price,annonce_date,OS,num_of_user_ratings,users_rating
سامسونگ,Galaxy A25,"10,200,000",2023,Android,80,4.5
سامسونگ,Galaxy A15,"8,985,000",2023,Android,76,4.3
جیونی,---,"2,969,000",2017,Android,75,3.9
موتورولا,Edge 30,"13,419,000",2022,Android,74,3.9
اپل,iPhone 11 ZPA,"33,745,000",2019,iOS,74,4.5
سامسونگ,Galaxy A14,"8,552,000",2023,Android,71,4.5
سامسونگ,Galaxy A24 4G,"9,299,000",2023,Android,71,4.2
سامسونگ,Galaxy A25,"11,810,000",2023,Android,69,4.3
سامسونگ,Galaxy A25,"9,890,000",2023,Android,67,4.3
شیائومی,Redmi Note 12 Pro Plus 5G,"18,090,000",2022,Android,60,4
سامسونگ,Galaxy A14,"7,426,000",2023,Android,60,4.4
نوکیا,150 2023,"2,780,000",2023,---,59,4.4
سامسونگ,Galaxy A05s,"5,790,000",2023,Android,58,4.5
سامسونگ,Galaxy A05,"5,350,000",2023,Android,56,4.4
آنر,---,"8,440,000",2023,Android,55,4.6
سامسونگ,Galaxy A25,"11,810,000",2023,Android,53,4.4
شیائومی,Xiaomi Redmi Note 13 Pro Plus 5G,"21,400,000",2023,Android,52,3.9
سامسونگ,Galaxy A05,"5,150,000",2023,Android,49,4.6
ویکو,T3,"5,350,000",2021,Android,46,4.2
شیائومی,Poco X6 5G,"15,120,000",2024,Android,44,4.4
آنر,90,"24,499,000",2023,Android,44,4.6
تی سی ال,403,"2,920,000",2023,Android,44,3.9
هوآوی,nova 11i,"8,399,000",2023,Android,44,4.4
شیائومی,Redmi 13C,"5,785,000",2023,Android,43,4.6
موتورولا,Edge 40 Neo,"13,849,000",2023,Android,40,4.5
داریا,bond,"8,670,000",2023,Android,39,4.3
شیائومی,Xiaomi Redmi Note 13 Pro Plus 5G,"21,700,000",2023,Android,38,4.2
سامسونگ,Galaxy A05s,"6,709,000",2023,Android,36,4.4
شیائومی,Xiaomi Redmi Note 13 Pro Plus 5G,"22,399,000",2023,Android,34,4
سامسونگ,Galaxy A55,"21,700,000",2024,Android,31,4.4
ریلمی,---,"7,899,000",2023,Android,31,4.5
گوگل,---,"24,150,000",2022,Android,30,4.5
ویکو,T10,"3,540,000",2022,Android,28,4.1
اوپو,A55,"6,499,000",2021,Android,28,4.5
شیائومی,Xiaomi Redmi Note 13 Pro Plus 5G,"19,299,000",2023,Android,28,4.4
موتورولا,Moto G23,"6,399,000",2023,Android,28,4.3
سامسونگ,Galaxy M04,"4,600,000",2022,Android,27,4.5
گوگل,---,"20,399,000",2023,Android,25,4.4
سامسونگ,Galaxy S23 FE,"27,300,000",2023,Android,25,4
شیائومی,Redmi Note 11E,"5,799,000",2022,Android,25,3.7
سامسونگ,Galaxy A05,"5,700,000",2023,Android,24,4.3
سامسونگ,Galaxy F04,"4,699,000",2023,Android,24,4.3
سامسونگ,Galaxy A24 4G,"10,199,000",2023,Android,23,4.6
شیائومی,Redmi A3,"5,199,000",2024,Android,19,3.8
سامسونگ,Galaxy S21 FE 5G,"21,150,000",2022,Android,19,3.7
اپل,iPhone 11 ZPA,"27,500,000",2019,iOS,19,4.4
تی سی ال,30 SE,"4,772,000",2022,Android,18,4.2
شیائومی,Redmi Note 13 Pro,"17,380,000",2023,Android,18,4.3
اپل,iPhone 13 CH,"53,800,000",2021,iOS,16,4.6
هوآوی,nova 10 SE,"13,760,000",2022,Android,15,3.3
هوآوی,Mate 50 Pro,"45,999,000",2022,Android,15,4.3
موتورولا,Moto G14,"6,699,000",2023,Android,14,4.4
سامسونگ,Galaxy S23 Ultra,"57,300,000",2023,Android,14,4.1
ناتینگ,Phone 2,"39,499,000",2023,Android,14,4.5
شیائومی,Redmi 13C,"6,825,000",2023,Android,13,4.6
موتورولا,Moto G73,"11,000,000",2023,Android,13,3.4
تی سی ال,40 NxtPaper,"6,999,000",2023,Android,12,4.4
وان پلاس,Ace Pro,"31,500,000",2022,Android,12,3.9
شیائومی,Redmi 13C,"6,190,000",2023,Android,12,4.8
شیائومی,Redmi Note 10S M2101K7BNY,"9,370,000",2021,Android,11,4.1
سامسونگ,---,"15,490,000",2024,Android,11,4.7
شیائومی,Redmi Note 13,"11,540,000",2024,Android,11,4
